,sido,sgg,openDate,bedCount,instkind,revenue1,salescost1,sga1,salary1,noi1,noe1,interest1,ctax1,profit1,liquidAsset1,quickAsset1,receivableS1,inventoryAsset1,nonCAsset1,tanAsset1,OnonCAsset1,receivableL1,debt1,liquidLiabilities1,shortLoan1,NCLiabilities1,longLoan1,netAsset1,surplus1,revenue2,salescost2,sga2,salary2,noi2,noe2,interest2,ctax2,profit2,liquidAsset2,quickAsset2,receivableS2,inventoryAsset2,nonCAsset2,tanAsset2,OnonCAsset2,receivableL2,debt2,liquidLiabilities2,shortLoan2,NCLiabilities2,longLoan2,netAsset2,surplus2,employee1,employee2,ownerChange,inst_id,0
0,10,139,19981125.0,300.0,3,66824864410.0,0.0,65657092101.0,32236953402.0,4314093449.0,4901516562.0,1775872236.0,76680000.0,503669196.0,25913847298.0,24387412809.0,724257978.0,1526434489.0,48072817614.0,46299313665.0,746312240.0,0.0,67690895830.0,54260878189.0,38059269376.0,13430017641.0,6319096673.0,6295769082.0,8944587276.0,63603752482.0,0.0,62611262314.0,30169456545.0,4076448390.0,4332356668.0,1578625701.0,218399804.0,518182086.0,24989917015.0,23679279656.0,1237753941.0,1310637359.0,46501910026.0,43562963177.0,796386240.0,0.0,55406431667.0,50684431667.0,37143344381.0,4720000000.0,4690000000.0,16085395374.0,8944587276.0,693.0,693.0,2,2,1
1,11,149,20160309.0,44.0,4,34957575568.0,0.0,32592697196.0,16722544253.0,68710235.0,1981032861.0,1936454791.0,0.0,452555746.0,5861727241.0,5372198189.0,661028976.0,489529052.0,75110103878.0,66786481122.0,4500000.0,0.0,66267365958.0,42109451947.0,23300000000.0,24157914011.0,17200000000.0,14704465161.0,10462774450.0,37542526998.0,0.0,38685229259.0,18977322462.0,191802228.0,3694365215.0,2016114115.0,0.0,-4645265248.0,5503720305.0,4943368382.0,154430728.0,560351923.0,65593789830.0,65453024830.0,14500000.0,0.0,67308375170.0,42098280733.0,24200000000.0,25210094437.0,18300000000.0,3789134965.0,0.0,379.0,371.0,2,5,1
2,13,103,19890427.0,276.0,3,23260305967.0,2542570943.0,23087485220.0,11687337552.0,1601942757.0,1380941439.0,810120395.0,0.0,-2148748878.0,12653132775.0,11339218657.0,7337106674.0,1313914118.0,29454672516.0,28306315536.0,138806980.0,0.0,0.0,28306315536.0,21822782890.0,0.0,0.0,0.0,16385400958.0,24680345066.0,1500100033.0,23739495734.0,11911460194.0,236121643.0,1328858389.0,625923370.0,15210270.0,-1667197717.0,13542016215.0,12638512618.0,7003702834.0,903503597.0,29388100802.0,27775892339.0,428850980.0,0.0,0.0,27775892339.0,21822782890.0,0.0,0.0,0.0,16385400958.0,-999.0,-999.0,0,6,1
3,0,71,20100226.0,363.0,3,0.0,0.0,0.0,0.0,4850652289.0,2060988817.0,0.0,0.0,2789663472.0,8644532586.0,7891338155.0,0.0,753194431.0,67302642303.0,64152971336.0,0.0,0.0,28918804751.0,26041925484.0,18751867179.0,2876879267.0,0.0,47028370138.0,0.0,0.0,0.0,0.0,0.0,4975530163.0,2112735905.0,0.0,0.0,2862794258.0,12048967677.0,11264812600.0,0.0,784155077.0,39209035438.0,36019373569.0,0.0,0.0,12115167523.0,9556237015.0,4251867179.0,2558930508.0,0.0,39142835592.0,0.0,760.0,760.0,2,8,1
4,12,26,20040604.0,213.0,3,50370249897.0,0.0,48558027276.0,22963463015.0,1534452040.0,0.0,2573803974.0,0.0,3346674661.0,7849771653.0,7138326629.0,110400000.0,711445024.0,64048538311.0,60243012011.0,3582018880.0,0.0,49216366414.0,25033534025.0,17202185666.0,24182832389.0,9976421129.0,22681943550.0,14926909183.0,43489959875.0,0.0,40678103061.0,18716161000.0,1802199486.0,0.0,3925279031.0,0.0,4614056300.0,8847724531.0,7868783627.0,176400000.0,978940904.0,60856886146.0,60141108127.0,546748880.0,0.0,43959732611.0,7535567468.0,3298427375.0,36424165143.0,21347120000.0,25744878066.0,15072685841.0,437.0,385.0,2,10,1
5,8,122,20081224.0,220.0,3,43816543122.0,10051312608.0,29264928639.0,19715446217.0,3260366823.0,4892588017.0,997988589.0,271988090.0,2596092591.0,8963374277.0,8637166338.0,2596579660.0,326207939.0,54735951707.0,53736518723.0,428135400.0,0.0,44870859677.0,28458208282.0,16500000000.0,16412651395.0,10769341543.0,18828466307.0,0.0,43205986981.0,10360798265.0,28650436008.0,18929579742.0,2709076770.0,4664388742.0,1164551473.0,224753012.0,2014687724.0,8684358482.0,8391008391.0,2496725320.0,293350091.0,61584242081.0,61328126081.0,242516000.0,0.0,45459114417.0,24757164386.0,17557900000.0,20701950031.0,17169340032.0,24809486146.0,0.0,386.0,397.0,2,12,1
6,8,31,20020513.0,370.0,3,86227731973.0,21961377249.0,61519717053.0,39714189795.0,557312990.0,1248942580.0,748387649.0,899154422.0,1155853659.0,14662039230.0,13808608820.0,10398620.0,853430410.0,64060070910.0,63875805350.0,155000000.0,0.0,47525559216.0,35433264969.0,16092267082.0,12092294247.0,3107573700.0,31196550924.0,0.0,78557968311.0,21429209410.0,54159976792.0,35220203700.0,570061051.0,1269665772.0,850735569.0,289991680.0,1979185708.0,11719939068.0,11022942864.0,2825780.0,696996204.0,65121511922.0,64877246362.0,215000000.0,0.0,42367245001.0,25878792829.0,11979310283.0,16488452172.0,13811232841.0,34474205989.0,0.0,727.0,580.0,2,13,1
7,12,147,20070110.0,246.0,3,35709731765.0,4188686629.0,30001785786.0,18255735890.0,372357781.0,677858348.0,625185241.0,84562545.0,1129196238.0,7322581445.0,6897496733.0,158768021.0,425084712.0,22075205034.0,21151715645.0,305000000.0,0.0,24485924430.0,19153080163.0,11809416753.0,5332844267.0,3317219788.0,4911862049.0,294291557.0,29692963394.0,3727673679.0,24367610167.0,15551937480.0,333809040.0,1695891593.0,596904229.0,0.0,235596995.0,4344680646.0,3915392956.0,97018056.0,429287690.0,24604064302.0,23414266338.0,235000000.0,0.0,22754052022.0,8100283091.0,3139853466.0,14653768931.0,12266530317.0,6194692926.0,1577122434.0,377.0,346.0,2,20,1
8,7,95,20151209.0,148.0,5,2719142464.0,0.0,2067186286.0,900922930.0,177541556.0,116742065.0,104670415.0,0.0,712755669.0,2440569112.0,2416656943.0,1361958422.0,23912169.0,22312801690.0,16605491246.0,24690000.0,0.0,18527743437.0,12256879547.0,11706987877.0,6270863890.0,4977311280.0,6225627365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,2,21,1
9,8,169,19851223.0,27.0,4,70340410791.0,15703609481.0,51774179537.0,32040054580.0,446597276.0,1730254303.0,1658762094.0,238518390.0,1340446356.0,9285804386.0,8766996223.0,13083630.0,518808163.0,56412209806.0,55132585663.0,940029255.0,0.0,57040737104.0,18867341663.0,10966044435.0,38173395441.0,23647710000.0,8657277088.0,7321694997.0,56091019850.0,12750399682.0,41355281669.0,26619996530.0,1604990993.0,2068379179.0,1941941841.0,0.0,1521950313.0,9677090984.0,9071466702.0,11432010.0,605624282.0,62560959004.0,60246819338.0,980529255.0,0.0,62419285026.0,15143328141.0,7749622618.0,47275956885.0,33318400000.0,9818764962.0,8483182871.0,532.0,409.0,2,23,1
